label,fp,dd,untainting,Explor SAT,Explor UNSAT,Explor other,Explor total,Explor time,CF SAT,CF UNSAT,CF other,CF total,CF time,Mem SAT,Mem UNSAT,Mem other,Mem total,Mem time,Insec SAT,Insec UNSAT,Insec other,Insec total,Insec time,Model total,Model time,Enum total,Enum time,enum_limit_reached,Total SAT,Total UNSAT,Total other,Total total,Total time,average query size, max query size,done checks,spared checks,paths,conditions,forks,unresolved_fork,resolved_forks,discarded,min_transient_dj,dba_instructions,x86instructions,addresses,merged,refused,aborted,wall time,MAX_DEPTH,MAX_PATH,TIMEOUT,store,canonical,mem_type,solver,bopt,transient_paths_pht,transient_paths_stl,pht_status,pht_dynamic,stl_status,max_spec_depth,violations,max_depth_reached,max_paths_reached,syscalls,solver_timeout_reached,enum_limit_reached,timeout_reached,interrupted,out_of_memory,exit_code
spectrev1_masking_case_8,1,1,1,2,0,0,2,0.008025,0,0,0,0,0,0,2,0,2,0.008572,0,2,0,2,0.008572,0,0,0,0,0,2,2,0,4,0.016597,836.75,1012,2,75,4,1,1,1,0,0,0,460,130,49,0,0,0,0.038212,0,0,inf,relational,1,row-map,boolector,0,2,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_9,1,1,1,1,1,0,2,0.005868,0,0,0,0,0,0,1,0,1,0.007657,0,1,0,1,0.007657,0,0,0,0,0,1,2,0,3,0.013525,614.666667,820,1,29,2,1,1,1,0,2,0,173,48,40,0,0,0,0.025745,0,0,inf,relational,1,row-map,boolector,0,1,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_10,1,1,1,10,0,0,10,0.061873,0,2,0,2,0.008012,0,0,0,0,0,0,2,0,2,0.008012,0,0,0,0,0,10,2,0,12,0.069885,1030.333333,1107,2,95,10,3,3,3,0,0,0,482,137,46,0,0,0,0.110475,0,0,inf,relational,1,row-map,boolector,0,7,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_11gcc,1,1,1,325,55,0,380,31.370262,0,55,0,55,0.569133,0,2,0,2,0.008413,0,57,0,57,0.577546,0,0,0,0,0,325,112,0,437,31.947809,3743.016018,6059,57,1062,89,86,86,86,0,170,0,5378,1909,90,0,0,0,34.793241,0,0,inf,relational,1,row-map,boolector,0,87,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_11ker,1,1,1,244,23,0,267,22.676251,0,23,0,23,0.243053,0,2,0,2,0.007548,0,25,0,25,0.250601,0,0,0,0,0,244,48,0,292,22.926852,5440.982877,9628,25,1206,51,48,48,48,0,94,0,3729,1128,85,0,0,0,25.562405,0,0,inf,relational,1,row-map,boolector,0,49,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_11sub,1,1,1,440,32,0,472,47.31043,0,98,0,98,2.266408,0,4,0,4,0.012657,0,102,0,102,2.279065,0,0,0,0,0,440,134,0,574,49.589494,6613.412892,10365,102,4146,398,263,263,263,0,392,0,18917,5359,84,0,0,0,56.542214,0,0,inf,relational,1,row-map,boolector,0,396,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_12,1,1,1,2,0,0,2,0.022763,0,0,0,0,0,0,2,0,2,0.008481,0,2,0,2,0.008481,0,0,0,0,0,2,2,0,4,0.031244,1130.25,1386,2,63,4,1,1,1,0,0,0,384,103,58,0,0,0,0.052963,0,0,inf,relational,1,row-map,boolector,0,2,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_13,1,1,1,2,0,0,2,0.007722,0,0,0,0,0,0,2,0,2,0.008355,0,2,0,2,0.008355,0,0,0,0,0,2,2,0,4,0.016077,861.25,1028,2,59,8,5,5,1,4,8,0,368,106,52,0,0,0,0.034705,0,0,inf,relational,1,row-map,boolector,0,6,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_14,1,1,1,2,0,0,2,0.007479,0,0,0,0,0,0,2,0,2,0.008117,0,2,0,2,0.008117,0,0,0,0,0,2,2,0,4,0.015596,945.75,1188,2,62,4,1,1,1,0,0,0,374,102,55,0,0,0,0.035204,0,0,inf,relational,1,row-map,boolector,0,2,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.003931,0,1,0,1,0.003931,0,0,0,0,0,0,1,0,1,0.003931,967,967,1,36,2,1,1,1,0,0,0,186,51,43,0,0,0,0.013314,0,0,inf,relational,1,row-map,boolector,0,2,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
